//날짜	지급최소레벨	생성아이템	생성개수	확률
20040518	6	II_SYS_SYS_EVE_0504M4USBFANLIGHT	1	0.06
20040518	11	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.11
20040518	16	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.18
20040518	21	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.34
20040518	26	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.62
20040518	31	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.75
20040518	36	II_SYS_SYS_EVE_0504M4USBFANLIGHT	1	1.5
20040518	41	II_SYS_SYS_EVE_0504M8OST        	1	5.49
20040518	41	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	5.49
20040518	46	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	16.94
20040518	46	II_SYS_SYS_EVE_0504M3AIRSHIP    	1	16.94
20040518	51	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	35.16
20040519	6	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	0.06
20040519	11	II_SYS_SYS_EVE_0504M4USBFANLIGHT	1	0.11
20040519	16	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	0.18
20040519	21	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.34
20040519	26	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.62
20040519	31	II_SYS_SYS_EVE_0504M4USBFANLIGHT	1	0.75
20040519	36	II_SYS_SYS_EVE_0504M8OST        	1	1.5
20040519	36	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	1.5
20040519	41	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	5.49
20040519	46	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	16.94
20040519	51	II_SYS_SYS_EVE_0504M2DCAMARA    	1	35.16
20040520	6	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	0.06
20040520	11	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.11
20040520	16	II_SYS_SYS_EVE_0504M4USBFANLIGHT	1	0.18
20040520	21	II_SYS_SYS_EVE_0504M6GIFTTICKET 	1	0.34
20040520	26	II_SYS_SYS_EVE_0504M8OST        	1	0.62
20040520	26	II_SYS_SYS_EVE_0504M4USBFANLIGHT	1	0.62
20040520	31	II_SYS_SYS_EVE_0504M7MOVIETICKET	1	0.75
