// Ticket Index	World Index
II_SYS_TICKET_KEBARAS01 	1
II_SYS_TICKET_KEBARAS02	1
II_SYS_TICKET_KEBARAS001 	1
II_SYS_TICKET_CISLAND01	2
II_SYS_TICKET_CISLAND02	2
II_SYS_TICKET_CISLAND03	2
II_SYS_TICKET_RARTESIA01	3
II_SYS_TICKET_RARTESIA02	3
II_SYS_TICKET_RARTESIA03	3
II_SYS_TICKET_RARTESIA04	3
II_SYS_TICKET_PAIDWORLDPASS01	1
II_SYS_TICKET_PAIDWORLDPASS01	2
II_SYS_TICKET_PAIDWORLDPASS01	3
II_SYS_TICKET_PAIDWORLDPASS01	4
II_SYS_TICKET_DARKRARTESIA	4
II_SYS_TICKET_DARKRARTESIA01	4
II_SYS_TICKET_DARKRARTESIA_01	4
II_SYS_TICKET_DARKRARTESIA_07	4
II_SYS_TICKET_DARKRARTESIA_15	4
II_SYS_TICKET_PAIDWORLDPASS02	1
II_SYS_TICKET_PAIDWORLDPASS02	2
II_SYS_TICKET_PAIDWORLDPASS02	3
II_SYS_TICKET_PAIDWORLDPASS02	4
II_SYS_TICKET_PAIDWORLDPASS_1DAY	1
II_SYS_TICKET_PAIDWORLDPASS_1DAY	2
II_SYS_TICKET_PAIDWORLDPASS_1DAY	3
II_SYS_TICKET_PAIDWORLDPASS_1DAY	4
II_SYS_TICKET_PRIMARKET01	5
II_SYS_TICKET_PRIMARKET02	5
II_SYS_TICKET_PRIMARKET03	5
II_SYS_TICKET_CHRISTTICKET	6
