//비스 구룹	구룹 대표이름	기간 별 아이템 종류									
//dwVisGroup	szGroupName	dwVisID1	dwVisID2	dwVisID3	dwVisID4	dwVisID5	dwVisID6	dwVisID7	dwVisID8	dwVisID9	dwVisID10
1	TID_MMI_VISGROUP_STR_LV1	II_SYS_VIS_LV1_STR	II_SYS_VIS_LV1_STR7	=	=	=	=	=	=	=	=
2	TID_MMI_VISGROUP_STR_LV2	II_SYS_VIS_LV2_STR	II_SYS_VIS_LV2_STR_01	II_SYS_VIS_LV2_STR7	=	=	=	=	=	=	=
3	TID_MMI_VISGROUP_DEX_LV1	II_SYS_VIS_LV1_DEX	II_SYS_VIS_LV1_DEX7	=	=	=	=	=	=	=	=
4	TID_MMI_VISGROUP_DEX_LV2	II_SYS_VIS_LV2_DEX	II_SYS_VIS_LV2_DEX_01	II_SYS_VIS_LV2_DEX7	=	=	=	=	=	=	=
5	TID_MMI_VISGROUP_INT_LV1	II_SYS_VIS_LV1_INT	II_SYS_VIS_LV1_INT7	=	=	=	=	=	=	=	=
6	TID_MMI_VISGROUP_INT_LV2	II_SYS_VIS_LV2_INT	II_SYS_VIS_LV2_INT_01	II_SYS_VIS_LV2_INT7	=	=	=	=	=	=	=
7	TID_MMI_VISGROUP_STA_LV1	II_SYS_VIS_LV1_STA	II_SYS_VIS_LV1_STA7	=	=	=	=	=	=	=	=
8	TID_MMI_VISGROUP_STA_LV2	II_SYS_VIS_LV2_STA	II_SYS_VIS_LV2_STA_01	II_SYS_VIS_LV2_STA7	=	=	=	=	=	=	=
9	TID_MMI_VISGROUP_DMG_LV1	II_SYS_VIS_LV1_DMG	II_SYS_VIS_LV1_DMG7	=	=	=	=	=	=	=	=
10	TID_MMI_VISGROUP_DMG_LV2	II_SYS_VIS_LV2_DMG	II_SYS_VIS_LV2_DMG_01	II_SYS_VIS_LV2_DMG7	=	=	=	=	=	=	=
11	TID_MMI_VISGROUP_SPELL_LV1	II_SYS_VIS_LV1_SPELLRATE	II_SYS_VIS_LV1_SPELLRATE7	=	=	=	=	=	=	=	=
12	TID_MMI_VISGROUP_SPELL_LV2	II_SYS_VIS_LV2_SPELLRATE	II_SYS_VIS_LV2_SPELLRATE_01	II_SYS_VIS_LV2_SPELLRATE7	=	=	=	=	=	=	=
13	TID_MMI_VISGROUP_CRI_LV1	II_SYS_VIS_LV1_CRIRATE	II_SYS_VIS_LV1_CRIRATE7	=	=	=	=	=	=	=	=
14	TID_MMI_VISGROUP_CRI_LV2	II_SYS_VIS_LV2_CRIRATE	II_SYS_VIS_LV2_CRIRATE_01	II_SYS_VIS_LV2_CRIRATE7	=	=	=	=	=	=	=
15	TID_MMI_VISGROUP_BLOMELEE_LV1	II_SYS_VIS_LV1_BLOMELEE	II_SYS_VIS_LV1_BLOMELEE7	=	=	=	=	=	=	=	=
16	TID_MMI_VISGROUP_BLOMELEE_LV2	II_SYS_VIS_LV2_BLOMELEE	II_SYS_VIS_LV2_BLOMELEE_01	II_SYS_VIS_LV2_BLOMELEE7	=	=	=	=	=	=	=
17	TID_MMI_VISGROUP_BLRANGE_LV1	II_SYS_VIS_LV1_BLRANGE	II_SYS_VIS_LV1_BLRANGE7	=	=	=	=	=	=	=	=
18	TID_MMI_VISGROUP_BLRANGE_Lv2	II_SYS_VIS_LV2_BLRANGE	II_SYS_VIS_LV2_BLRANGE_01	II_SYS_VIS_LV2_BLRANGE7	=	=	=	=	=	=	=
19	TID_MMI_VISGROUP_CRITICAL_Lv1	II_SYS_VIS_LV1_CRITICAL	II_SYS_VIS_LV1_CRITICAL7	=	=	=	=	=	=	=	=
20	TID_MMI_VISGROUP_CRITICAL_Lv2	II_SYS_VIS_LV2_CRITICAL	II_SYS_VIS_LV2_CRITICAL_01	II_SYS_VIS_LV2_CRITICAL7	=	=	=	=	=	=	=
21	TID_MMI_VISGROUP_SPEED_Lv1	II_SYS_VIS_LV1_SPEED	II_SYS_VIS_LV1_SPEED7	=	=	=	=	=	=	=	=
22	TID_MMI_VISGROUP_SPEED_Lv2	II_SYS_VIS_LV2_SPEED	II_SYS_VIS_LV2_SPEED_01	II_SYS_VIS_LV2_SPEED7	=	=	=	=	=	=	=
23	TID_MMI_VISGROUP_HITRATE_Lv1	II_SYS_VIS_LV1_HITRATE	II_SYS_VIS_LV1_HITRATE7	=	=	=	=	=	=	=	=
24	TID_MMI_VISGROUP_HITRATE_Lv2	II_SYS_VIS_LV2_HITRATE	II_SYS_VIS_LV2_HITRATE_01	II_SYS_VIS_LV2_HITRATE7	=	=	=	=	=	=	=
25	TID_MMI_VISGROUP_ATKSPEED_Lv1	II_SYS_VIS_LV1_ATKSPEED	II_SYS_VIS_LV1_ATKSPEED7	=	=	=	=	=	=	=	=
26	TID_MMI_VISGROUP_ATKSPEED_Lv2	II_SYS_VIS_LV2_ATKSPEED	II_SYS_VIS_LV2_ATKSPEED_01	II_SYS_VIS_LV2_ATKSPEED7	=	=	=	=	=	=	=
