//변수명,한글명칭,영문명칭,일본명칭,중국명칭,태국명칭,인공지능,힘,체력,민첩,지능,종족,호전성,성별,레벨,비행레벨,크기,등급,파츠,온혈,방어 캐릭수,전투행동반경,최소타격치,최대타격치,공격1(기본),공격2(기본),공격3(특수),가로가중치,세로가중치,사선가중치,찌르기가중치,가슴 비율,머리 비율,팔 비율,다리 비율,공격속도,재공격속도,HP보완,추가방어점,마모도,경도,추가공격속도저하,공격 속성,속성 공격력,피색,이동속도,거주지역,비행유무,높이뛰기,멀리뛰기,조련유무,마법저항,전기저항,불저항,바람저항,물저항,땅저항,제공금액,제공재료,재료양,재료응집도,시체유지시간,아이템생성보정값,경험치,비행경험치,몸상태,추가능력,죽음유무,가상아이템1,가상아이템타입,가상아이템1,가상아이템타입,가상아이템1,가상아이템타입,공격효과음1,공격효과음2,죽는효과음1,죽는효과음2,피해효과음1,피해효과음2,피해효과음3,방관효과음1,방관효과음2,한글설명,영문설명,일어설명,중국설명,태국설명
//dwID,szName,szNameEn,"""""","""""","""""",dwAI,dwStr,dwSta,dwDex,dwInt,dwRace,dwBelligerence,dwGender,dwLevel,dwFilghtLevel,dwSize,dwClass,bIfPart,bWarmBlood,dwDefExtent,dwActionRadius,dwAtkMin,dwAtkMax,dwAtk1,dwAtk2,dwAtk3,dwHorizontalRate,dwVerticalRate,dwDiagonalRate,dwThrustRate,dwChestRate,dwHeadRate,dwArmRate,dwLegRate,dwAttackSpeed,dwReAttackDelay,dwAddHp,dwNaturealArmor,nAbrasion,nHardness,dwAdjAtkDelay,eElementType,wElementAtk,dwBloodColor,fSpeed,dwShelter,bFlying,dwJumpIng,dwAirJump,bTaming,dwResisMagic,fResistElecricity,fResistFire,fResistWind,fResistWater,fResistEarth,dwCash,dwSourceMaterial,dwMaterialAmount,dwCohesion,dwHoldingTime,dwCorrectionValue,dwExpValue,nFxpValue,nBodyState,dwAddAbility,bKillable,dwVirtItem1,dwVirtType1,dwVirtItem2,dwVirtType2,dwVirtItem3,dwVirtType3,dwSndAtk1,dwSndAtk2,dwSndDie1,dwSndDie2,dwSndDmg1,dwSndDmg2,dwSndDmg3,dwSndIdle1,dwSndIdle2,szComment,"""""","""""","""""",""""""
MI_DEFAULT,"""일반""","""Default""","""標準""","""""","""""",AII_MOVER,10,10,10,10,=,BELLI_PEACEFUL,=,=,=,=,=,0,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,0,=,=,=,0,0,=,0.1,=,0,=,=,=,0,0,0,0,0,0,=,=,=,=,=,=,0,0,=,=,0,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_MALE  ,"""남자""","""Male""","""男性""","""""","""""",AII_MOVER,10,10,10,10,=,BELLI_PEACEFUL,=,=,65,=,=,1,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,0,130,0,=,0,0,=,0.1,=,0,=,=,=,0,0,0,0,0,0,=,=,=,=,=,=,0,0,=,=,0,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_FEMALE,"""여자""","""Female""","""女性""","""""","""""",AII_MOVER,10,10,10,10,=,BELLI_PEACEFUL,=,=,65,=,=,1,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,0,130,0,=,0,0,=,0.1,=,0,=,=,=,0,0,0,0,0,0,=,=,=,=,=,=,0,0,=,=,0,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI_AIBATT1,"""부하 아이바트""","""Small Aibatt""","""スモ?ル?アイバット""","""""","""""",AII_MONSTER,15,20,15,15,=,BELLI_MELEE2X,=,1,=,=,RANK_LOW,0,=,=,=,23,24,II_WEA_MOB_AIBATT1_ATK1    ,II_WEA_MOB_AIBATT1_ATK2    ,II_WEA_MOB_AIBATT1_ATK3    ,=,=,=,=,=,=,=,=,1000,6000,189,1,130,0,=,4,4,=,0.075,=,0,=,=,=,1,0,-0.3,0,0,0.3,8,=,=,=,=,25,2,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_AIBATT2,"""아이바트""","""Aibatt""","""アイバット""","""""","""""",AII_MONSTER,15,20,15,15,=,BELLI_MELEE2X,=,1,=,=,RANK_NORMAL,0,=,=,=,23,24,II_WEA_MOB_AIBATT2_ATK1    ,II_WEA_MOB_AIBATT2_ATK2    ,II_WEA_MOB_AIBATT2_ATK3    ,=,=,=,=,=,=,=,=,1000,6000,189,1,130,0,=,4,4,=,0.075,=,0,=,=,=,1,0,-0.3,0,0,0.3,8,=,=,=,=,50,2,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_AIBATT3,"""두목 아이바트""","""Captain Aibatt""","""キャプテン?アイバット""","""""","""""",AII_MONSTER,15,20,17,17,=,BELLI_MELEE2X,=,2,=,=,RANK_CAPTAIN,0,=,=,=,29,31,II_WEA_MOB_AIBATT3_ATK1    ,II_WEA_MOB_AIBATT3_ATK2    ,II_WEA_MOB_AIBATT3_ATK3    ,=,=,=,=,=,=,=,=,1000,5500,295,2,130,0,=,4,5,=,0.08,=,0,=,=,=,2,0,-0.3,0,0,0.3,10,=,=,=,=,16,3,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_AIBATT4,"""거대 아이바트""","""Gaint Aibatt""","""ジャイアント?アイバット""","""""","""""",AII_MONSTER,15,20,23,23,=,BELLI_MELEE2X,=,5,=,=,RANK_BOSS,0,=,=,=,99,106,II_WEA_MOB_AIBATT4_ATK1    ,II_WEA_MOB_AIBATT4_ATK2    ,II_WEA_MOB_AIBATT4_ATK3    ,=,=,=,=,=,=,=,=,1000,3000,14326,5,130,0,=,1,18,=,0.075,=,0,=,=,=,5,0,0,0.3,-0.3,0,98,=,=,=,=,70,40,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_MUSHPANG1,"""부하 머슈팡""","""Small Mushpang""","""スモ?ル?マッシュファング""","""""","""""",AII_MONSTER,15,20,19,19,=,BELLI_MELEE2X,=,3,=,=,RANK_LOW,0,=,=,=,34,37,II_WEA_MOB_MUSHPANG1_ATK1    ,II_WEA_MOB_MUSHPANG1_ATK2    ,II_WEA_MOB_MUSHPANG1_ATK3    ,=,=,=,=,=,=,=,=,1000,5500,415,3,130,0,=,5,6,=,0.075,=,0,=,=,=,3,0.3,0,-0.3,0,0,12,=,=,=,=,25,4,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
MI_MUSHPANG2,"""머슈팡""","""Mushpang""","""マッシュファング""","""""","""""",AII_MONSTER,15,20,19,19,=,BELLI_MELEE2X,=,3,=,=,RANK_NORMAL,0,=,=,=,34,37,II_WEA_MOB_MUSHPANG2_ATK1    ,II_WEA_MOB_MUSHPANG2_ATK2    ,II_WEA_MOB_MUSHPANG2_ATK3    ,=,=,=,=,=,=,=,=,1000,5500,415,3,130,0,=,5,6,=,0.075,=,0,=,=,=,3,0.3,0,-0.3,0,0,12,=,=,=,=,50,5,0,=,=,1,II_WEA_HAN_HAND,VT_ITEM,=,=,=,=,=,=,=,=,SND_ITEM_ANIMAL ,SND_PC_DMGWANB,=,=,=,"""""","""""","""""","""""",""""""
