//변수명,명칭,영문명칭,일어명칭,중국명칭,태국명칭,기본생성개수,최대곂침개수,1차아이템종류,2차아이템종류,3차아이템종류,아이템직업소속,소비불가,사용가능,사용성별,무게,가격,게임머니,내구력,수리횟수,수리불가능,고장유무,마모도,경도,잡는형식,굽높이,장착위치,장착위치,파츠파일,제거될위치,기본부위무시,아이템레벨,추가레벨,희귀성,상점판매가능,로그남길것,공격속도 감소,필요 아이템,필요 아이템종류,최소능력,최대능력,공격 속성,속성 공격력,최소추가스킬,최대추가스킬,공격 스타일,타격방식,무기종류,아이템1차공격순서,아이템2차공격순서,아이템3차공격순서,아이템4차공격순서,아이템1차공격동작,아이템2차공격동작,아이템3차공격동작,아이템4차공격동작,지속피해,최대장전개수,반동,구경,연발률,장전시간,추가공격성공률,추가 마법성공률,공격속도,타격시 반동,공격범위,추가판정치,적용대상1,적용대상2,적용값1,적용값2,적용변화값1,적용변화값2,필요직업,필요힘,필요체력,필요민첩,필요지능,필요MP,필요EP,직업필요레벨,학과필요레벨,기술준비,기술 준비시간,기술 시전거리,원소이펙트,사용 효과,효과 2 (2차 효과),효과 3 (3차 효과),사용 모션,유지시간,지속시간,발동시기,발동대상,사용시기,마법범위,마법속성,참조스탯1,참조스탯2,참조타겟1,참조타겟2,참조수치1,참조수치2,기술속성,마법저항,전기저항,불저항,바람저항,물저항,땅저항,마법증폭,마법퓨전,악행,성장유무,생산유무,숙련레벨,최대숙련레벨,서브디파인위치,현재경험치,기술숙련치,연속기술방식,콤보스킬타임,카드타입,비행속도,비행선회각(좌우),비행선회각(상하),비행제한레벨,비행연료충전량,비행연료소비량,가속연료충전량,팩당연료충전량,직업제한1,제한레벨1,직업제한2,제한레벨2,반사광,공격음1(무기 타격음),공격음2(무기 크리티컬),공격음3(무기 휘두름음1),공격음4(무기 휘두름음2),방어음,타격음(충전소리),피해음,뛸때 추가음,아이콘파일,설명,영어설명,일어설명,중국어설명,태국어설명
//dwID,szName,szNameEn,"""""","""""","""""",dwNum,dwPackMax,dwItemKind1,dwItemKind2,dwItemKind3,dwItemJob,bPermanence,dwUseable,dwItemSex,dwWeight,dwCost,dwCash,dwEndurance,dwRepairNumber,bRepairUnable,bJammed,nAbrasion,nHardness,dwHanded,dwHeelH,dwParts,dwPartsub,bPartFile,dwExclusive,dwBasePartsIgnore,dwItemLV,dwAddLV,dwItemRare,dwShopAble,bLog,dwSpeedPenalty,dwLinkItem,dwLinkKind,dwAbilityMin,dwAbilityMax,eItemType,wItemEAtk,dwAddSkillMin,dwAddSkillMax,dwAtkStyle,dwAtkType,dwWeaponType,dwItemAtkOrder1,dwItemAtkOrder2,dwItemAtkOrder3,dwItemAtkOrder4,dwItemMotion1,dwItemMotion2,dwItemMotion3,dwItemMotion4,bContinuousPain,dwShellQuantity,dwRecoil,dwCaliber,dwBarrageRate,dwLoadingTime,nAdjHitRate,nAdjSpellRate,dwAttackSpeed,dwDmgShift,dwAttackRange,dwAdjRoll,dwDestParam1,dwDestParam2,nAdjParamVal1,nAdjParamVal2,dwChgParamVal1,dwChgParamVal2,dwReqJob,dwReqStr,dwReqSta,dwReqDex,dwReqInt,dwReqMp,dwRepFp,dwReqJobLV,dwReqDisLV,dwSkillReadyType,dwSkillReady,dwSkillRange,dwSfxElemental,dwSfxObj,dwSfxObj2,dwSfxObj3,"dwUseMotion(01,02,03 번호 붙여 다음 동작연결)",dwCircleTime,dwSkillTime,dwExeChance,dwExeTarget,dwUseChance,dwSpellRegion,dwSpellType,dwReferStat1,dwReferStat2,dwReferTarget1,dwReferTarget2,dwReferValue1,dwReferValue2,dwSkillType,dwItemResistMagic,fItemResistElecricity,fItemResistFire,fItemResistWind,fItemResistWater,fItemResistEarth,bAmplification,bFusion,nEvildoing,bGrow,bCraft,dwExpertLV,ExpertMax,dwSubDefine,dwExp,LVRatio,dwComboStyle,dwComboSkillTime,dwCardType,fFlightSpeed,fFlightLRAngle,fFlightTBAngle,dwFlightLimit,dwFFuelReMax,dwFFuelSp,dwAFuelReMax,dwFuelRe,dwLimitJob1,dwLimitLevel1,dwLimitJob2,dwLimitLevel2,dwReflect,dwSndAttack1,dwSndAttack2,dwSndAttack3,dwSndAttack4,dwSndDefense,dwSndHit,dwSndDamage,dwSndClang,szIcon,szComment,"""""","""""","""""",""""""
SI_VAG_ONE_CLEANHIT,"""크린히트""","""Clean Hit""","""???????""","""""","""""",1,1,JTYPE_BASE,JOB_VAGRANT,DIS_VAGRANT,JOB_VAGRANT,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,IK3_MELEEONE,0,0,_NONE,0,=,=,AS_DIAGONAL,AT_SLASH,WT_EQUIP,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,AR_SHORT,=,=,=,=,=,=,=,=,=,=,=,=,=,0,4,4,=,=,=,=,XI_SKILL_VAG_ONE_CLEANHIT01,=,=,MTI_VAG_ONE_CLEANHIT,=,=,WET_NOW,EXT_SPECIALATK,WUI_TARGETINGOBJ,SRO_DIRECT,=,DST_STR,DST_STA,RT_ATTACK,=,10,3,KT_SKILL,0,0,0,0,0,0,=,=,=,=,=,1,10,5,1,10,CT_STEP,0,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,"""skill_VagOneCleanh.dds""","""방랑자 스탭스킬로 소드를 사용하며 강하게 내려쳐서 피해를 입힙니다.""","""""","""放浪者?ステップスキルで、片手?を使った?烈な一?を敵に?える。""","""""",""""""
SI_VAG_ONE_BRANDISH,"""브랜디쉬""","""Brandish""","""??????????""","""""","""""",1,1,JTYPE_BASE,JOB_VAGRANT,DIS_VAGRANT,JOB_VAGRANT,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,IK3_MELEEONE,0,0,_NONE,0,=,=,AS_DIAGONAL,AT_SLASH,WT_EQUIP,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,AR_SHORT,=,=,=,=,=,=,=,=,=,=,=,=,=,0,6,6,=,=,=,=,XI_SKILL_VAG_ONE_BRANDISH01,=,=,MTI_VAG_ONE_BRANDISH,=,=,WET_NOW,EXT_SPECIALATK,WUI_TARGETINGOBJ,SRO_DIRECT,=,DST_DEX,=,RT_ATTACK,=,10,=,KT_SKILL,0,0,0,0,0,0,=,=,=,=,=,1,10,15,1,10,CT_CIRCLE,0,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,"""skill_VagOneBrandi.dds""","""방랑자 서클스킬로 소드를 사용하여 비오듯 찔러 공격하는 스킬입니다.""","""""","""放浪者?サ?クルスキルで、片手?を使って素早い突きを連?で繰り出す。""","""""",""""""
SI_VAG_ONE_OVERCUTTER,"""오버커터""","""Over Cutter""","""?????????""","""""","""""",1,1,JTYPE_BASE,JOB_VAGRANT,DIS_VAGRANT,JOB_VAGRANT,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,IK3_MELEEONE,0,0,_NONE,0,=,=,AS_VERTICAL,AT_SLASH,WT_EQUIP,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,AR_SHORT,=,=,=,=,=,=,=,=,=,=,=,=,=,0,11,11,=,=,=,=,XI_SKILL_VAG_ONE_OVERCUTTER01,=,=,MTI_VAG_ONE_OVERCUTTER,=,=,WET_NOW,EXT_SPECIALATK,WUI_TARGETINGOBJ,SRO_DIRECT,=,DST_STR,DST_STA,RT_ATTACK,RT_ATTACK,10,3,KT_SKILL,0,0,0,0,0,0,=,=,=,=,=,1,10,25,1,10,CT_FINISH,0,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,"""skill_VagOneOvercu.dds""","""방랑자 피니쉬스킬로 소드를 사용하며 힘을 최대한 모아 위로 올려치는 스킬입니다.""","""""","""流れ者?フィニッシュスキルで、片手?を使った上段方向への?烈な斬りを行う。""","""""",""""""
//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SI_MER_ONE_SPLMASH,"""스플매쉬""","""Splmash""","""????????""","""""","""""",1,1,JTYPE_EXPERT,JOB_MERCENARY,DIS_SWORD,JOB_MERCENARY,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,IK3_MELEEONE,0,0,_NONE,0,=,=,AS_DIAGONAL,AT_SLASH,WT_EQUIP,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,AR_SHORT,=,=,=,=,=,=,=,=,=,=,=,=,=,0,=,1,=,=,=,=,XI_SKILL_MER_ONE_SPLMASH01,XI_HIT_SWORD01,=,MTI_MER_ONE_SPLMASH,=,=,WET_NOW,EXT_SPECIALATK,WUI_TARGETINGOBJ,SRO_DIRECT,=,DST_STR,DST_STA,RT_ATTACK,=,10,3,KT_SKILL,0,0,0,0,0,0,=,=,=,=,=,1,20,35,1,10,CT_STEP,0,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,"""skill_MerOneSplmas.dds""","""머서너리 스탭스킬로 소드를 사용하여 몸을 굽혀 힘을 모은 뒤 반동을 이용하여 2회 연속으로 가격 하는 칼과 도끼를 사용한 스킬입니다.""","""""","""マ?シナリ??ステップスキルで、片手?を使った?の瞬間的な反動を利用した２連?で攻?する。""","""""",""""""
SI_MER_ONE_KEENWHEEL,"""킨휠""","""Keenwheel""","""???????""","""""","""""",1,1,JTYPE_EXPERT,JOB_MERCENARY,DIS_SWORD,JOB_MERCENARY,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,IK3_MELEEONE,0,0,_NONE,0,=,=,AS_DIAGONAL,AT_SLASH,WT_EQUIP,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,AR_SHORT,=,=,=,=,=,=,=,=,=,=,=,=,=,0,=,6,=,=,=,=,XI_SKILL_MER_ONE_KEENWHEEL01,XI_HIT_SWORD01,=,MTI_MER_ONE_KEENWHEEL,=,=,WET_NOW,EXT_SPECIALATK,WUI_TARGETINGOBJ,SRO_DIRECT,=,DST_DEX,=,RT_ATTACK,=,10,=,KT_SKILL,0,0,0,0,0,0,=,=,=,=,=,1,20,55,1,10,CT_CIRCLE,0,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,"""skill_MerOneKeenwh.dds""","""머서너리 서클스킬로 소드를 사용하여 몸을 급속으로 회전하여 상대를 타격하는 스킬입니다.""","""""","""マ?シナリ??サ?クルスキルで、片手?を使った?を高速回?しながら相手に打?を?える。""","""""",""""""
SI_MER_ONE_BLINDSIDE,"""블라인드사이드""","""Blindside""","""???????????""","""""","""""",1,1,JTYPE_EXPERT,JOB_MERCENARY,DIS_SWORD,JOB_MERCENARY,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,IK3_MELEEONE,0,0,_NONE,0,=,=,AS_VERTICAL,AT_SLASH,WT_EQUIP,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,AR_SHORT,=,=,=,=,=,=,=,=,=,=,=,=,=,0,=,12,=,=,=,=,XI_SKILL_MER_ONE_BLINDSIDE01,XI_HIT_SWORD01,=,MTI_MER_ONE_BLINDSIDE,=,=,WET_NOW,EXT_SPECIALATK,WUI_TARGETINGOBJ,SRO_DIRECT,=,DST_STR,DST_STA,RT_ATTACK,RT_ATTACK,10,3,KT_SKILL,0,0,0,0,0,0,=,=,=,=,=,1,20,75,1,10,CT_FINISH,0,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,"""skill_MerOneBlinds.dds""","""머서너리 피니쉬스킬로 소드를 사용하여 적의 약점을 가격하는 스킬입니다.""","""""","""マ?シナリ?のフィニッシュスキルで、?を使って敵の弱点を狙って攻?する。""","""""",""""""
SI_MER_ONE_SKILL4,"""원핸드 스탭_02""","""OneHand Skill4""","""片手用???4""","""""","""""",1,1,JTYPE_EXPERT,JOB_MERCENARY,DIS_SWORD,JOB_MERCENARY,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,IK3_MELEEONE,0,0,_NONE,0,=,=,AS_HORIZONTAL,AT_SLASH,WT_EQUIP,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,AR_SHORT,=,=,=,=,=,=,=,=,=,=,=,=,=,0,19,41,=,=,=,=,=,=,=,MTI_MER_ONE_SKILL4,=,=,WET_NOW,EXT_SPECIALATK,WUI_TARGETINGOBJ,SRO_DIRECT,=,=,=,=,=,=,=,KT_SKILL,0,0,0,0,0,0,=,=,=,=,=,1,20,95,1,10,CT_STEP,0,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,"""skill_default.dds""","""""","""""","""""","""""",""""""
SI_MER_ONE_SKILL5,"""원핸드 피니쉬_02""","""OneHand Skill5""","""片手用???5""","""""","""""",1,1,JTYPE_EXPERT,JOB_MERCENARY,DIS_SWORD,JOB_MERCENARY,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,IK3_MELEEONE,0,0,_NONE,0,=,=,AS_DIAGONAL ,AT_SLASH,WT_EQUIP,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,AR_SHORT,=,=,=,=,=,=,=,=,=,=,=,=,=,0,27,41,=,=,=,=,=,=,=,MTI_MER_ONE_SKILL5,=,=,WET_NOW,EXT_SPECIALATK,WUI_TARGETINGOBJ,SRO_DIRECT,=,=,=,=,=,=,=,KT_SKILL,0,0,0,0,0,0,=,=,=,=,=,1,20,115,1,10,CT_FINISH,0,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,"""skill_default.dds""","""""","""""","""""","""""",""""""
SI_MER_SHIELD_PROTECTION,"""프로텍션""","""Protection""","""プロテクション""","""""","""""",1,1,JTYPE_EXPERT,JOB_MERCENARY,DIS_SHIELD,JOB_MERCENARY,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,IK3_SHIELD,=,=,_NONE,0,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,0,=,0,=,=,=,=,=,=,=,=,=,0,=,4,SR_AFTER,0,=,=,XI_SKILL_MER_SHIELD_PROTECTION01,XI_SKILL_MER_SHIELD_PROTECTION02,=,MTI_MER_SHIELD_PROTECTION,=,0,WET_NOW,EXT_SELFCHGPARAMET,WUI_NOW,=,=,DST_STA,=,RT_TIME,=,20000,=,KT_SKILL,0,0,0,0,0,0,=,=,1,=,=,1,20,135,1,10,CT_GENERAL,0,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,"""skill_MerShieProtec.dds""","""방패를 사용하는 스킬로 방어력을 올려줍니다.""","""""","""盾を使用した自分の防御力を上昇させるスキル。""","""""",""""""
