//변수명,명칭(메인스킬define),스킬레벨,최소능력,최대능력,대인 최대 능력,대인 최대 능력,공격속도,타격시 반동,적용확률,대인 적용확률,타운트,적용대상1,적용대상2,적용값1,적용값2,적용변화값1,적용변화값2,참조값 1,참조값 2,참조값 3,발동 마법,마법 확률,대인 마법 확률,필요MP,필요FP,쿨다운,기술 준비시간,기술 시전거리,유지시간,지속피해타임(몇초에 한번씩 피해를 입는가?),지속시간,스킬발동갯수,스킬경험치,현재경험치,콤보스킬타임
//dwID,dwName,dwSkillLvl,dwAbilityMin,dwAtkAbilityMax,dwAbilityMinPVP,dwAbilityMaxPVP,dwAttackSpeed,dwDmgShift,nProbability,nProbabilityPVP,dwTaunt,dwDestParam1,dwDestParam2,nAdjParamVal1,nAdjParamVal2,dwChgParamVal1,dwChgParamVal2,dwdestData1,dwdestData2,dwdestData3,dwactiveskill,dwActiveSkillRate,dwActiveSkillRatePVP,dwReqMp,dwRepFp,dwCooldown,dwCastingTime,dwSkillRange,dwCircleTime,dwPainTime,dwSkillTime,dwSkillCount,dwSkillExp,dwExp,dwComboSkillTime
SA_CLEANHIT_L01,SI_VAG_ONE_CLEANHIT,1,10,11,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,5,=,=,=,=,=,=,=,4,0,600
SA_CLEANHIT_L02,SI_VAG_ONE_CLEANHIT,2,10,11,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,5,=,=,=,=,=,=,=,3,0,600
SA_CLEANHIT_L03,SI_VAG_ONE_CLEANHIT,3,10,11,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,5,=,=,=,=,=,=,=,3,0,600
SA_CLEANHIT_L04,SI_VAG_ONE_CLEANHIT,4,10,11,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,5,=,=,=,=,=,=,=,3,0,600
SA_CLEANHIT_L05,SI_VAG_ONE_CLEANHIT,5,12,13,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,8,=,=,=,=,=,=,=,3,0,600
SA_CLEANHIT_L06,SI_VAG_ONE_CLEANHIT,6,12,13,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,8,=,=,=,=,=,=,=,2,1,600
SA_CLEANHIT_L07,SI_VAG_ONE_CLEANHIT,7,12,13,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,8,=,=,=,=,=,=,=,2,1,600
SA_CLEANHIT_L08,SI_VAG_ONE_CLEANHIT,8,12,13,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,8,=,=,=,=,=,=,=,2,1,600
SA_CLEANHIT_L09,SI_VAG_ONE_CLEANHIT,9,12,13,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,10,=,=,=,=,=,=,=,2,1,600
SA_CLEANHIT_L10,SI_VAG_ONE_CLEANHIT,10,13,13,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,10,=,=,=,=,=,=,=,2,2,600
SA_BRANDISH_L01,SI_VAG_ONE_BRANDISH,1,5,6,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,10,=,=,=,=,=,=,=,4,0,600
SA_BRANDISH_L02,SI_VAG_ONE_BRANDISH,2,5,6,=,=,150,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,10,=,=,=,=,=,=,=,3,0,600
